0,039650197;2,96238E-05
0,060881454;6,70366E-05
0,090908191;0,000156047
0,147517258;0,000401676
0,194516217;0,000702227
0,298672667;0,00158909
0,320050898;0,001833779
0,404872141;0,002941911
0,433814488;0,003493104
0,613077578;0,006656477
0,83121366;0,011640143
1,22481117;0,021875995
1,707754567;0,036143222
2,044996204;0,04483664
2,932170332;0,070995202
4,206397974;0,094737872
6,205964804;0,117752898
8,310346657;0,12500207
11,28518054;0,128983861
17,12837602;0,135143222
30,27526526;0,178130751
47,87241102;0,241333788
